StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,X
32,5,189501,0.71,-4.4,0.73,0.73,2.18,0.73,0,2151,0.89,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-14.5,5.8,NA
32,5,189502,0.53,4.9,1.18,1.18,1.6,1.18,0,1683,0.51,0.8,-99.99,-99.99,-99.99,-99.99,-99.99,-4.6,14.3,NA
32,5,189503,0.23,22.9,1.24,1.24,0.54,1.24,0,1305,-1.36,-0.76,-0.21,-99.99,-99.99,-99.99,-99.99,10.5,35.2,NA
32,5,189504,1.92,49.1,1.37,1.37,0.77,1.37,8,485,0.73,0.17,0.22,-99.99,-99.99,-99.99,-99.99,35.7,62.5,NA
32,5,189505,2.25,53.1,1.55,1.55,0.96,1.55,13,382,-0.02,0.26,-0.03,-99.99,-99.99,-99.99,-99.99,40.9,65.3,NA
32,5,189506,4.12,59.6,2.31,2.31,2.76,2.31,34,196,0.57,0.23,0.44,0.33,-99.99,-99.99,-99.99,47.9,71.3,NA
32,5,189507,2.18,66.5,2.62,2.62,1.64,2.62,118,72,-0.3,0.07,-0.1,-0.08,-99.99,-99.99,-99.99,53.1,79.9,NA
32,5,189508,1.12,64.8,2.24,2.24,-0.34,2.03,86,93,-1.2,-0.97,-0.47,-0.45,-99.99,-99.99,-99.99,49.6,79.9,NA
32,5,189509,0.65,56.7,1.5,1.5,-1.51,0.6,16,265,-0.98,-1.58,-1.4,-0.58,-0.65,-99.99,-99.99,41.9,71.6,NA
32,5,189510,0.09,39.2,0.87,0.87,-1.43,-0.63,0,800,-1.99,-1.74,-2.18,-1.16,-1.1,-99.99,-99.99,24.2,54.2,NA
32,5,189511,1.24,18.3,1.38,1.38,1.81,0.62,0,1401,1.16,-0.24,-0.9,-0.95,-0.88,-99.99,-99.99,9.2,27.5,NA
32,5,189512,0.31,12,1.16,1.16,-0.24,0.29,0,1643,-0.5,0.83,-0.46,-1.59,-0.79,-0.85,-99.99,2.6,21.5,NA
